Date,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU
1998-12-22,20.376576999999997,17.580864000000002,16.474863,9.946361,19.380423,16.671019,13.569710999999998,25.936071,15.260034
1998-12-23,20.464073000000003,18.005876999999998,16.817857999999998,10.093022999999999,19.815956,16.961954000000002,13.712239000000002,26.555702,15.196085
1998-12-24,20.839115,17.974783,16.72934,10.159689,19.936962,17.185732,14.027807000000001,26.454538,15.475878
1998-12-28,20.651595999999998,17.871124,16.640831,10.026358,19.646616,17.275246,13.905645999999999,26.530403000000003,15.395914999999999
1998-12-29,21.101627,18.26503,16.806798999999998,10.133021000000001,20.082134,17.52136,14.160148000000001,26.606277000000002,15.651715
1998-12-30,20.926617,18.151007,16.552311,10.093022999999999,19.912729000000002,17.443023999999998,14.11943,26.505119,15.523814000000002
1998-12-31,20.901611,18.016251,16.530185999999997,9.999692999999999,20.130526,17.588522,14.2823,26.403955,15.467847
1999-01-04,20.7766,17.871124,16.519117,9.999692999999999,20.082134,17.342339000000003,14.109247,26.707447,15.22008
1999-01-05,21.12664,18.005876999999998,16.430603,10.093022999999999,20.396643,17.700375,14.45536,27.390306,15.403892
1999-01-06,21.726685999999997,18.223562,16.972759,10.413016,20.735373000000003,18.080820000000003,14.709848000000001,28.199621,15.563767000000002
1999-01-07,21.701683,18.016251,16.895313,10.573006,20.638594,17.924149,14.597869000000001,28.111107,15.507857999999999
1999-01-08,21.726685999999997,17.943678,16.972759,10.639676,20.892623999999998,18.058407,15.096692000000001,28.224923999999998,15.595745
1999-01-11,21.614168,17.580864000000002,16.651884,10.479676,20.941011,17.890562,15.127228,28.503120000000003,15.180072000000001
1999-01-12,21.051634,17.446115,16.397409,10.186355,20.856379,17.678026000000003,14.740395000000001,27.731745,15.1881
1999-01-13,21.151644,17.477215,16.153994,10.053023,20.662823,17.230486,14.414642,27.719091,15.292012
1999-01-14,20.676603,17.145494,15.844192999999999,9.799702,20.49342,17.152151,14.170317,27.339724,15.036207999999998
1999-01-15,20.939137,17.33209,16.087603,10.079689,20.771683,17.443023999999998,14.384094000000001,28.149036,15.108142
1999-01-19,20.926617,17.135132000000002,16.087603,10.026358,21.364442999999998,17.409508,14.11943,29.122746000000003,15.619746
1999-01-20,21.276651,17.186962,15.954842000000001,10.099691,21.485468,17.331167,14.068523,29.388309000000003,15.555788
1999-01-21,21.076635,16.927805,16.087603,9.919698,20.735373000000003,17.185732,14.007442999999999,28.629585,15.499825
1999-01-22,21.176638,16.844872,15.999092999999998,9.853033,20.650671,16.85004,13.732585,28.123756,15.603771
1999-01-25,21.12664,16.803407999999997,15.976965,9.933025,20.820079999999997,17.129732,14.007442999999999,28.616926,15.020197
1999-01-26,21.626669,17.197329999999997,15.822068,9.939694,20.916851,17.129732,13.966726999999999,29.767690999999996,15.316002
1999-01-27,21.601669,17.425380999999998,15.534394,9.813034,20.711216,17.264001999999998,13.854741,29.135403000000004,15.084144
1999-01-28,21.826685,17.736361,15.445875,9.959694,21.098339000000003,17.286414999999998,13.681689000000002,30.159689,15.108142
1999-01-29,21.976698000000003,17.777829999999998,15.445875,10.173019,21.098339000000003,17.398266,13.752951999999999,30.602301,15.084144
1999-02-01,22.026705,17.705261,15.290975,9.999692999999999,21.219278,17.420685,13.864926,30.627571000000003,15.052171
1999-02-02,21.751682000000002,17.850389,15.313101999999999,9.89303,20.904776000000002,17.286414999999998,13.875110000000001,30.109106,14.852343
1999-02-03,22.101707,17.788189000000003,15.667167000000001,9.966364,21.303978,17.454271,13.88529,30.324087,14.932301
1999-02-04,21.976698000000003,17.705261,15.755681,9.733036,21.146732,17.476606,14.29248,29.287146000000003,14.708473999999999
1999-02-05,21.426657000000002,17.435745,16.198254000000002,9.653037,20.904776000000002,17.420685,14.485895000000001,28.579008,14.716460000000001
1999-02-08,21.776676000000002,17.404648,16.419539999999998,9.626371,20.892623999999998,17.476606,14.414642,29.059526,14.716460000000001
1999-02-09,21.101627,17.093657,16.109739,9.493044,20.517654,17.241659,14.139783999999999,27.921431,14.780416
1999-02-10,21.101627,17.218056,16.153994,9.573041,20.566042000000003,17.30875,14.170317,28.123756,14.676495000000001
1999-02-11,21.789196,17.508305,16.021221,9.959694,21.122495999999998,17.543770000000002,14.027807000000001,29.312437,14.74045
1999-02-12,21.401660999999997,17.363188,15.689297,9.813034,20.807997,17.443023999999998,13.956548000000002,28.149036,14.500619
1999-02-16,21.676682999999997,17.570513000000002,15.578648000000001,9.959694,21.001558,17.532534,13.82421,28.022589,14.764399
1999-02-17,21.601669,17.394278,15.423751999999999,9.999692999999999,20.783764,17.532534,13.681689000000002,27.390306,14.660485000000001
1999-02-18,21.626669,17.580864000000002,15.468001000000001,10.099691,21.049951999999998,17.532534,13.783492,27.542059000000002,14.924268
1999-02-19,21.739195000000002,17.508305,15.379489999999999,10.133021000000001,21.11042,17.644447,13.895467000000002,27.794973,14.764399
1999-02-22,22.289232000000002,17.881475,15.534394,10.426347999999999,21.558004,17.912981,14.129604999999998,28.781328000000002,15.244016
1999-02-23,22.176716,17.850389,15.401615,10.559681,21.521698,17.901802,14.007442999999999,29.160684999999997,14.764399
1999-02-24,21.901695,17.746721,15.335228,10.213021000000001,21.267666000000002,17.857056,13.966726999999999,28.351371999999998,14.900328
1999-02-25,21.651676000000002,17.539402,15.412683,10.146355999999999,21.062029000000003,17.499008,13.966726999999999,28.427244,14.580573000000001
1999-02-26,21.839192999999998,17.591234,15.313101999999999,10.333015,21.122495999999998,17.554935,13.966726999999999,27.567359999999997,14.668467999999999
